V1	wc2.1_30s_bio_2	wc2.1_30s_bio_6	wc2.1_30s_bio_8	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_18
SYST-MOR-0007474.bam	11.5249996185303	-7.90000009536743	19.7333335876465	108	52	296
SYST-MOR-0007475.bam	11.5249996185303	-7.90000009536743	19.7333335876465	108	52	296
SYST-MOR-0007476.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007477.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007478.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007479.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007480.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007481.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007482.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007483.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007484.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007485.bam	11.158332824707	-8.60000038146973	19.0833339691162	105	46	295
SYST-MOR-0007486.bam	13.1916666030884	-10.8000001907349	15	89	11	209
SYST-MOR-0007487.bam	13.1916666030884	-10.6999998092651	15.0666666030884	88	11	208
SYST-MOR-0007488.bam	13.1916666030884	-10.6999998092651	15.0666666030884	88	11	208
SYST-MOR-0007489.bam	13.283332824707	-10.6000003814697	15.2333335876465	87	11	207
SYST-MOR-0007490.bam	13.4583330154419	-10.3999996185303	15.4499998092651	88	11	205
SYST-MOR-0007491.bam	13.716667175293	-10.5	15.6499996185303	87	10	205
SYST-MOR-0007492.bam	14.1833333969116	-10.6000003814697	16.0833339691162	86	10	202
